sample_index,sample_id,CH4,CO,T,U_1,p
1085,trajectory_000000:1085,0.10381454229354858,0.2331116795539856,0.07909461110830307,0.18478335440158844,0.009609040804207325
1125,trajectory_000000:1125,0.07219141721725464,0.18347421288490295,0.05450094863772392,0.17981906235218048,0.0056853145360946655
1165,trajectory_000000:1165,0.09198436141014099,0.2141222208738327,0.0679197907447815,0.22124578058719635,0.0064515541307628155
1205,trajectory_000000:1205,0.0603393018245697,0.1942896693944931,0.06265565007925034,0.19577975571155548,0.00791220460087061
1246,trajectory_000000:1246,0.08082102239131927,0.3116057515144348,0.0957457646727562,0.224917471408844,0.008485956117510796
1286,trajectory_000000:1286,0.08035113662481308,0.21799372136592865,0.07035316526889801,0.24892067909240723,0.007358300965279341
1326,trajectory_000000:1326,0.06308761239051819,0.1692570447921753,0.05341343581676483,0.19065998494625092,0.007874579168856144
1366,trajectory_000000:1366,0.07581643760204315,0.18764032423496246,0.06414157897233963,0.18558399379253387,0.007521464955061674
1406,trajectory_000000:1406,0.07442095875740051,0.18865451216697693,0.06428559124469757,0.18203240633010864,0.006567595060914755
1447,trajectory_000000:1447,0.06377936899662018,0.19007013738155365,0.06276118010282516,0.22769923508167267,0.006394484080374241
1487,trajectory_000000:1487,0.06463462859392166,0.20206578075885773,0.06411541253328323,0.18937136232852936,0.006096466910094023
1527,trajectory_000000:1527,0.049278099089860916,0.16513511538505554,0.053757444024086,0.2251265048980713,0.005345774814486504
1567,trajectory_000000:1567,0.06871867179870605,0.20163457095623016,0.06697975099086761,0.19589731097221375,0.0053084432147443295
1607,trajectory_000000:1607,0.050674282014369965,0.17523519694805145,0.05403831973671913,0.20994406938552856,0.00520655233412981
1648,trajectory_000000:1648,0.05475400388240814,0.1750406175851822,0.055005405098199844,0.19175904989242554,0.004817526787519455
1688,trajectory_000000:1688,0.07264217734336853,0.18401898443698883,0.06054477393627167,0.21635505557060242,0.0059194378554821014
1728,trajectory_000000:1728,0.09003782272338867,0.23031066358089447,0.07105251401662827,0.2553968131542206,0.00661852303892374
1768,trajectory_000000:1768,0.06173005700111389,0.1951426863670349,0.059548135846853256,0.21443821489810944,0.0050569940358400345
1808,trajectory_000000:1808,0.07965537905693054,0.2393253892660141,0.0818433165550232,0.23598898947238922,0.005770107731223106
1849,trajectory_000000:1849,0.06434909999370575,0.17981646955013275,0.05546100065112114,0.18343791365623474,0.006005026400089264
1889,trajectory_000000:1889,0.06313670426607132,0.21234029531478882,0.0609281025826931,0.23912747204303741,0.006354944314807653
1929,trajectory_000000:1929,0.07365250587463379,0.22368010878562927,0.07028680294752121,0.25175637006759644,0.00684515293687582
1969,trajectory_000000:1969,0.07231443375349045,0.2207208275794983,0.06483273208141327,0.18596826493740082,0.007267420180141926
2009,trajectory_000000:2009,0.07129202783107758,0.20681647956371307,0.06832479685544968,0.19288447499275208,0.0061120237223804
2049,trajectory_000000:2049,0.059193745255470276,0.17334528267383575,0.05758393555879593,0.19623032212257385,0.006379405036568642
2090,trajectory_000000:2090,0.06798302382230759,0.19130830466747284,0.05898440629243851,0.21685989201068878,0.005868553649634123
